R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
7.63,7.66,326,33.96,26.51,156.8,0.73,328,3.105388,50.474572
6.95,6.99,400,34.03,26.66,143.3,0.84,403,3.105388,50.474572
6.2,6.24,491,34.13,26.84,127,0.97,494,3.105388,50.474572
6.13,6.17,500,34.134,26.85,125.9,0.98,503,3.105388,50.474572
5.43,5.48,600,34.166,26.96,115.9,1.1,604,3.105388,50.474572
4.83,4.89,700,34.18,27.04,108.6,1.21,705,3.105388,50.474572
4.66,4.72,734,34.18,27.06,106.9,1.25,740,3.105388,50.474572
4.47,4.53,800,34.198,27.09,103.9,1.32,806,3.105388,50.474572
4.16,4.23,900,34.226,27.15,99.1,1.42,907,3.105388,50.474572
3.86,3.94,1000,34.255,27.2,94.4,1.52,1008,3.105388,50.474572
3.57,3.65,1100,34.285,27.26,89.5,1.61,1110,3.105388,50.474572
3.33,3.42,1178,34.31,27.3,85.5,1.68,1189,3.105388,50.474572
11.5,11.5,0,32.77,24.95,299.5,0,0,3.105388,50.474572
11.5,11.5,8,32.84,25,294.5,0.02,8,3.105388,50.474572
11.5,11.5,10,32.843,25,294.3,0.03,10,3.105388,50.474572
11.5,11.5,20,32.858,25.01,293.4,0.05,20,3.105388,50.474572
11.5,11.5,21,32.86,25.02,293.3,0.06,21,3.105388,50.474572
11.52,11.52,30,32.81,24.97,297.5,0.08,30,3.105388,50.474572
11.52,11.53,41,32.75,24.93,302.4,0.12,41,3.105388,50.474572
11.48,11.49,50,32.769,24.95,300.5,0.14,50,3.105388,50.474572
11.41,11.42,62,32.83,25.01,295,0.18,62,3.105388,50.474572
11.39,11.4,75,32.908,25.07,289.2,0.22,75,3.105388,50.474572
11.36,11.37,82,32.95,25.11,285.7,0.24,82,3.105388,50.474572
11.12,11.13,100,32.983,25.18,279.5,0.29,100,3.105388,50.474572
10.62,10.63,123,33.04,25.31,267.3,0.35,124,3.105388,50.474572
10.55,10.56,125,33.058,25.34,264.8,0.36,126,3.105388,50.474572
9.71,9.73,150,33.302,25.67,233.8,0.42,151,3.105388,50.474572
9.15,9.17,167,33.49,25.91,211.4,0.46,168,3.105388,50.474572
8.64,8.66,200,33.706,26.16,188.2,0.52,201,3.105388,50.474572
8.25,8.28,247,33.89,26.36,169.7,0.61,248,3.105388,50.474572
8.22,8.25,250,33.898,26.37,168.7,0.61,251,3.105388,50.474572
7.75,7.78,300,33.994,26.52,155.6,0.69,302,3.105388,50.474572
7.52,7.55,327,34.02,26.57,150.8,0.73,329,3.105388,50.474572
6.89,6.93,400,34.089,26.71,138.1,0.84,403,3.105388,50.474572
6.26,6.3,481,34.13,26.83,127.7,0.95,484,3.105388,50.474572
6.12,6.16,500,34.131,26.85,126,0.97,503,3.105388,50.474572
5.43,5.48,600,34.13,26.93,118.6,1.09,604,3.105388,50.474572
4.84,4.9,700,34.131,27,112.3,1.21,705,3.105388,50.474572
4.74,4.8,720,34.13,27.01,111.4,1.23,726,3.105388,50.474572
4.49,4.55,800,34.187,27.08,104.9,1.32,806,3.105388,50.474572
4.17,4.24,900,34.258,27.17,96.9,1.42,907,3.105388,50.474572
3.85,3.93,1000,34.332,27.27,88.5,1.51,1008,3.105388,50.474572
3.55,3.63,1100,34.406,27.35,80.3,1.6,1110,3.105388,50.474572
3.49,3.57,1118,34.42,27.37,78.7,1.61,1128,3.105388,50.474572
11.4,11.4,0,32.95,25.1,284.5,0,0,3.105388,50.474572
11.38,11.38,9,32.9,25.07,288,0.02,9,3.105388,50.474572
11.38,11.38,10,32.896,25.07,288.3,0.02,10,3.105388,50.474572
11.39,11.39,20,32.864,25.04,291.1,0.05,20,3.105388,50.474572
11.39,11.39,22,32.86,25.04,291.4,0.06,22,3.105388,50.474572
